,Product,Date,MERGE,SNOW %,CLOUD %,LAND %,SEA %,NODATA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
0,H34,20190425,1,0.21746949548528538,2.673013258490636,25.230090201397147,46.390303930402794,25.38751155386073,13778944,85,85,85,0,42
1,H34,20190426,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2,H34,20190427,1,0.21023381762782403,2.908060298379905,24.988112296559155,46.383162599398034,25.38751155386073,13778944,85,85,85,0,0
3,H34,20190428,1,0.20052334924940546,2.5665754937388527,25.33167273195972,46.379025852779435,25.38751155386073,13778944,85,85,85,42,85
4,H34,20190429,1,0.22057568417434603,2.851111086597057,25.01924675795184,46.37451171875,25.38751155386073,13778944,85,85,85,42,85
5,H34,20190430,1,0.21021930272740785,3.2610917063020217,24.611965909724287,46.36977260376412,25.38751155386073,13778944,85,85,85,42,85
6,H34,20190501,1,0.17692212117271106,2.9555965972428657,24.943304798974435,46.36394487124703,25.38751155386073,13778944,85,85,85,0,42
7,H34,20190502,1,0.13130904661489298,3.031008762355083,24.907931986660227,46.35586007171522,25.38751155386073,13778944,42,42,42,0,42
8,H34,20190503,1,0.19520363824687872,3.2106524273558263,24.66112787743386,46.3448868070006,25.38751155386073,13778944,85,85,85,42,85
9,H34,20190504,1,0.1486543526122176,3.4678854925312126,24.44795479247176,46.33283218220497,25.38751155386073,13778944,42,42,85,0,42
10,H34,20190505,1,0.1699477115227408,2.968529373513674,24.923978209070302,46.31968893987812,25.38751155386073,13778944,85,85,85,42,85
11,H34,20190506,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
12,H34,20190507,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
13,H34,20190508,1,0.23871930969456007,3.1525129937388527,24.66661450979117,46.2764055068371,25.38751155386073,13778944,85,85,42,42,42
14,H34,20190509,1,0.1991444337098692,3.1026035086578476,24.75487961922191,46.26107777199762,25.38751155386073,13778944,42,85,85,85,0
15,H34,20190510,1,0.19883236335092153,3.107814357907253,24.74891399515086,46.245481511500444,25.38751155386073,13778944,85,85,85,42,85
16,H34,20190511,1,0.17703098292583233,3.2040554051166765,24.673581661990934,46.22913047618163,25.38751155386073,13778944,85,85,42,42,85
17,H34,20190512,1,0.1903193742568371,3.062099679046522,24.801530509159484,46.21264880675906,25.38751155386073,13778944,85,85,42,42,85
18,H34,20190513,1,0.17740111288644472,2.801441097372919,25.07457755833829,46.195920384029435,25.38751155386073,13778944,85,85,85,42,85
